year,medianGenderPayGap
1970,47.58
1971,45.53
1972,45.68
1973,46.38
1974,44.42
1975,39.86
1976,36.55
1977,35.79
1978,37.47
1979,38.3
1980,36.69
1981,35.43
1982,35.66
1983,34.57
1984,35.08
1985,35.12
1986,34.94
1987,34.51
1988,34.05
1989,33.73
1990,32.74
1991,31.08
1992,29.95
1993,28.72
1994,28.08
1995,28.19
1996,27.22
1997,26.92
1998,27.04
1999,26.09
2000,26.28
2001,25.64
2002,24.38
2003,24.12
2004,23.36
2005,22.06
2006,21.72
2007,21.63
2008,21.86
2009,20.69
2010,19.23
2011,18.25
2012,17.78
2013,17.48
2014,17.38
2015,17.1
